GID_0;COUNTRY;NAME_1;TYPE_1;GID_1;HASC_1;ADMINPCOD;POP2019
CIV;Côte d'Ivoire;Abidjan;District autonome;CIV.1_1;CI.AB;NA;5372892
CIV;Côte d'Ivoire;Bas-Sassandra;District;CIV.2_1;CI.BA;NA;2602937
CIV;Côte d'Ivoire;Comoé;District;CIV.3_1;CI.CM;NA;1373122
CIV;Côte d'Ivoire;Denguélé;District;CIV.4_1;CI.DE;NA;330741
CIV;Côte d'Ivoire;Gôh-Djiboua;District;CIV.5_1;CI.GD;NA;1832222
CIV;Côte d'Ivoire;Lacs;District;CIV.6_1;CI.LA;NA;1432705
CIV;Côte d'Ivoire;Lagunes;District;CIV.7_1;CI.LN;NA;1686993
CIV;Côte d'Ivoire;Montagnes;District;CIV.8_1;CI.MN;NA;2683076
CIV;Côte d'Ivoire;Sassandra-Marahoué;District;CIV.9_1;CI.SM;NA;2617493
CIV;Côte d'Ivoire;Savanes;District;CIV.10_1;CI.SV;NA;1830343
CIV;Côte d'Ivoire;Vallée du Bandama;District;CIV.11_1;CI.VB;NA;1668561
CIV;Côte d'Ivoire;Woroba;District;CIV.12_1;CI.WB;NA;995686
CIV;Côte d'Ivoire;Yamoussoukro;District autonome;CIV.13_1;CI.YM;NA;405837
CIV;Côte d'Ivoire;Zanzan;District;CIV.14_1;CI.ZA;NA;1066450
