"GID_0";"COUNTRY";"NAME_1";"TYPE_1";"GID_1";"HASC_1"
"SEN";"Senegal";"Dakar";"Région";"SEN.1_1";"SN.DK"
"SEN";"Senegal";"Diourbel";"Région";"SEN.2_1";"SN.DB"
"SEN";"Senegal";"Fatick";"Région";"SEN.3_1";"SN.FK"
"SEN";"Senegal";"Kaffrine";"Région";"SEN.4_1";"SN.KF"
"SEN";"Senegal";"Kaolack";"Région";"SEN.5_1";"SN.KC"
"SEN";"Senegal";"Kédougou";"Région";"SEN.6_1";"SN.KG"
"SEN";"Senegal";"Kolda";"Région";"SEN.7_1";"SN.KD"
"SEN";"Senegal";"Louga";"Région";"SEN.8_1";"SN.LG"
"SEN";"Senegal";"Matam";"Région";"SEN.9_1";"SN.MT"
"SEN";"Senegal";"Saint-Louis";"Région";"SEN.10_1";"SN.ST"
"SEN";"Senegal";"Sédhiou";"Région";"SEN.11_1";"SN.SD"
"SEN";"Senegal";"Tambacounda";"Région";"SEN.12_1";"SN.TB"
"SEN";"Senegal";"Thiès";"Région";"SEN.13_1";"SN.TH"
"SEN";"Senegal";"Ziguinchor";"Région";"SEN.14_1";"SN.ZG"
